,ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs,Canonical SMILES
26,Disulfiram,D004221,97-77-8,BTN3A2,11118,mRNA,Homo sapiens,9606.0,[Disulfiram binds to Copper] which results in increased expression of BTN3A2 mRNA,affects^binding|increases^expression,24690739,[{3117: 'CCN(CC)C(=S)SSC(=S)N(CC)CC'}]
27,Diuron,D004237,330-54-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Diuron results in decreased expression of BTN3A2 mRNA,decreases^expression,35967413,[{3120: 'CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl'}]
28,Doxorubicin,D004317,23214-92-8,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Doxorubicin results in decreased expression of BTN3A2 mRNA,decreases^expression,29803840,[{31703: 'C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O'}]
29,entinostat,C118739,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,entinostat results in increased expression of BTN3A2 mRNA,increases^expression,27188386,[{4261: 'C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3'}]
30,epigallocatechin gallate,C045651,989-51-5,BTN3A2,11118,mRNA,Homo sapiens,9606.0,[potassium chromate(VI) co-treated with epigallocatechin gallate] results in decreased expression of BTN3A2 mRNA,affects^cotreatment|decreases^expression,22079256,[{65064: 'C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O'}]
31,Estradiol,D004958,50-28-2,BTN3A2,11118,mRNA,Homo sapiens,9606.0,[Estradiol co-treated with TGFB1 protein] results in decreased expression of BTN3A2 mRNA,affects^cotreatment|decreases^expression,30165855,[{5757: 'C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O'}]
32,Flutamide,D005485,13311-84-7,BTN3A2,11118,mRNA,Rattus norvegicus,10116.0,Flutamide results in increased expression of BTN3A2 mRNA,increases^expression,24793618,[{3397: 'CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F'}]
33,ICG 001,C492448,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,ICG 001 results in increased expression of BTN3A2 mRNA,increases^expression,26191083,"[{11238147: 'C1CN([C@H]2CN(C(=O)[C@@H](N2C1=O)CC3=CC=C(C=C3)O)CC4=CC=CC5=CC=CC=C54)C(=O)NCC6=CC=CC=C6'}, {20741453: 'C1CN(C2CN(C(=O)C(N2C1=O)CC3=CC=C(C=C3)O)CC4=CC=CC5=CC=CC=C54)C(=O)NCC6=CC=CC=C6'}, {129317873: 'C1CN([C@@H]2CN(C(=O)C(N2C1=O)CC3=CC=C(C=C3)O)CC4=CC=CC5=CC=CC=C54)C(=O)NCC6=CC=CC=C6'}]"
34,jinfukang,C544151,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,[Cisplatin co-treated with jinfukang] results in increased expression of BTN3A2 mRNA,affects^cotreatment|increases^expression,27392435,
35,jinfukang,C544151,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,jinfukang results in increased expression of BTN3A2 mRNA,increases^expression,27392435,
36,JP8 aviation fuel,C098607,,BTN3A2,11118,gene,Rattus norvegicus,10116.0,JP8 aviation fuel affects the methylation of BTN3A2 gene,affects^methylation,35440735,
37,(+)-JQ1 compound,C561695,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,(+)-JQ1 compound results in decreased expression of BTN3A2 mRNA,decreases^expression,21889194|23086925,[{46907787: 'CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C'}]
38,Leflunomide,D000077339,75706-12-6,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Leflunomide results in decreased expression of BTN3A2 mRNA,decreases^expression,28988120,[{3899: 'CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F'}]
39,methylmercuric chloride,C004925,115-09-3,BTN3A2,11118,mRNA,Homo sapiens,9606.0,methylmercuric chloride results in decreased expression of BTN3A2 mRNA,decreases^expression,23179753,[{409301: 'C[Hg]Cl'}]
40,Niclosamide,D009534,50-65-7,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Niclosamide results in increased expression of BTN3A2 mRNA,increases^expression,36318118,[{4477: 'C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O'}]
41,perfluorohexanesulfonic acid,C471071,355-46-4,BTN3A2,11118,mRNA,Homo sapiens,9606.0,perfluorohexanesulfonic acid results in decreased expression of BTN3A2 mRNA,decreases^expression,25812627,[{67734: 'C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F'}]
42,perfluoro-n-nonanoic acid,C101816,375-95-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,perfluoro-n-nonanoic acid results in decreased expression of BTN3A2 mRNA,decreases^expression,25812627,[{67821: 'C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O'}]
43,perfluorooctanoic acid,C023036,335-67-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,perfluorooctanoic acid results in decreased expression of BTN3A2 mRNA,decreases^expression,25812627,[{9554: 'C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O'}]
44,picoxystrobin,C556557,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,picoxystrobin results in increased expression of BTN3A2 mRNA,increases^expression,33512557,[{11285653: 'CO/C=C(\\C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)/C(=O)OC'}]
45,potassium chromate(VI),C027373,7789-00-6,BTN3A2,11118,mRNA,Homo sapiens,9606.0,[potassium chromate(VI) co-treated with epigallocatechin gallate] results in decreased expression of BTN3A2 mRNA,affects^cotreatment|decreases^expression,22079256,[{24597: '[O-][Cr](=O)(=O)[O-].[K+].[K+]'}]
46,potassium chromate(VI),C027373,7789-00-6,BTN3A2,11118,mRNA,Homo sapiens,9606.0,potassium chromate(VI) results in decreased expression of BTN3A2 mRNA,decreases^expression,22079256|22714537,
47,pyrachlostrobin,C513428,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,pyrachlostrobin results in increased expression of BTN3A2 mRNA,increases^expression,33512557,[{6422843: 'COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC'}]
48,Rotenone,D012402,83-79-4,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Rotenone results in increased expression of BTN3A2 mRNA,increases^expression,29955902,[{6758: 'CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC'}]
49,Thimerosal,D013849,54-64-8,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Thimerosal results in decreased expression of BTN3A2 mRNA,decreases^expression,27188386,[{16684434: 'CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+]'}]
50,Tobacco Smoke Pollution,D014028,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Tobacco Smoke Pollution results in decreased expression of BTN3A2 mRNA,decreases^expression,22363418|28065790|33660061,
51,tobacco tar,C024746,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,allyl sulfide inhibits the reaction [tobacco tar analog results in decreased expression of BTN3A2 mRNA],decreases^expression|decreases^reaction,36758788,
52,tobacco tar,C024746,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,diallyl disulfide inhibits the reaction [tobacco tar analog results in decreased expression of BTN3A2 mRNA],decreases^expression|decreases^reaction,36758788,
53,tobacco tar,C024746,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,tobacco tar analog results in decreased expression of BTN3A2 mRNA,decreases^expression,36758788,
54,Tretinoin,D014212,302-79-4,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Tretinoin results in increased expression of BTN3A2 mRNA,increases^expression,23830798|33167477,[{444795: 'CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C'}]
55,trichostatin A,C012589,58880-19-6,BTN3A2,11118,mRNA,Homo sapiens,9606.0,trichostatin A results in increased expression of BTN3A2 mRNA,increases^expression,24935251,[{444732: 'C[C@H](/C=C(\\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C'}]
56,"tris(1,3-dichloro-2-propyl)phosphate",C016805,13674-87-8,BTN3A2,11118,mRNA,Homo sapiens,9606.0,"tris(1,3-dichloro-2-propyl)phosphate results in decreased expression of BTN3A2 mRNA",decreases^expression,26179874,[{26177: 'C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl'}]
57,Valproic Acid,D014635,99-66-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Valproic Acid affects the expression of BTN3A2 mRNA,affects^expression,25979313,[{3121: 'CCCC(CCC)C(=O)O'}]
58,Valproic Acid,D014635,99-66-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Valproic Acid results in decreased expression of BTN3A2 mRNA,decreases^expression,23179753|24935251|28001369,
59,Valproic Acid,D014635,99-66-1,BTN3A2,11118,gene,Homo sapiens,9606.0,Valproic Acid results in decreased methylation of BTN3A2 gene,decreases^methylation,29154799,
60,Valproic Acid,D014635,99-66-1,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Valproic Acid results in increased expression of BTN3A2 mRNA,increases^expression,23179753|24935251|27188386,
61,Vorinostat,D000077337,,BTN3A2,11118,mRNA,Homo sapiens,9606.0,Vorinostat results in increased expression of BTN3A2 mRNA,increases^expression,27188386,[{5311: 'C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO'}]
